MonthOfYear,PM2.5(Ug/m3),EVI,NDVI,average humidity (%),total rainfall (mm),average pressure (kPa),total radiation (W/m2),average temperature (oC),predominant winddirection,average windspeed (m/s)
09-2017,58.64,0.2018,0.3719,79.55,9.65,87.693,17835.53,21.85,E,0.7
10-2017,52.49,0.2493,0.3727,84.5,1.07,87.665,0.0,20.55,NE,0.95
11-2017,66.26,0.2335,0.4754,79.95,216.68,87.63600000000001,118238.95,22.05,E,0.69
12-2017,69.7,0.1813,0.3708,73.99,27.74,87.59200000000001,124474.15,23.17,S,0.79
01-2018,90.99,0.1745,0.3515,69.63,28.44,87.58200000000001,115217.19,22.86,SE,0.9
02-2018,65.03,0.1553,0.2872,71.29,53.6,87.47200000000001,110826.36,23.97,SW,0.84
03-2018,51.61,0.2136,0.3694,82.93,179.04,87.635,100497.02,21.97,NW,1.29
04-2018,40.67,0.2357,0.4318,86.77,160.92,87.69,87066.04,21.31,SW,0.88
05-2018,40.83,0.2309,0.4318,83.41,2.49,87.736,92947.27,22.06,W,0.75
06-2018,50.64,0.2414,0.4096,81.65,0.24,87.85799999999999,85422.65,21.59,SW,0.67
07-2018,61.9,0.1877,0.37200000000000005,76.15,19.95,87.87700000000001,125112.4,21.68,S,0.76
08-2018,68.04,0.1972,0.3562,58.19,86.88,87.84100000000001,112214.41,21.54,S,0.81
09-2018,62.25,0.2152,0.3723,78.7,77.94,87.65,120506.45,22.47,SE,0.82
10-2018,119.0,0.2165,0.3805,81.35,225.8,87.671,115364.43,22.18,SE,0.87
