,PM2.5(Ug/m3),hour,EVI,NDVI,humidity (%),precipitation (mm),pressure (kPa),radiation (W/m2),temperature (oC),windspeed (m/s),winddirection_E,winddirection_N,winddirection_NE,winddirection_NW,winddirection_S,winddirection_SE,winddirection_SW,winddirection_W
PM2.5(Ug/m3),1.0,-0.10230453511904358,-0.28538166731431314,-0.20150982080566165,-0.0582358883381922,-0.0468068188677482,0.024016583247446648,-0.2286777638688744,-0.26379109747804497,0.03149477057761814,0.08426732719284172,0.05279609685975092,0.06542474182942154,-0.012935217874847967,-0.07836084678082579,0.1133316788397532,-0.11418706210815784,-0.04816219198582515
hour,-0.10230453511904358,1.0,0.0014693758694920385,0.003093605466087197,0.0011408947399933925,-0.004007979541491843,-0.12777456653503588,0.10103279926650519,0.3564160936848404,0.02469063476352939,-0.09527214259299702,-0.027388693768616596,-0.07318895041151256,0.09540491614573912,0.07639398573594228,-0.043642603289478187,-0.0021465492452939347,0.01879658964433638
EVI,-0.28538166731431314,0.0014693758694920385,1.0,0.8726939679597034,0.05271603619453401,0.02591535767805303,0.2877524589531086,-0.05416883628437218,-0.16775453308715982,-0.047751478918682255,-0.03327841261601617,0.058928353356198476,0.0042066056416745,0.15524119820323423,-0.13987918993721982,-0.1063078812071203,0.02851426911306868,0.06392805369241733
NDVI,-0.20150982080566165,0.003093605466087197,0.8726939679597034,1.0,0.10133938035008976,0.025639831176834892,0.22180497128320031,-0.03608517526464518,-0.14051729566289933,-0.039644912642523226,-0.03645061750265785,0.060934003879676985,0.023770336049182543,0.1434235640319522,-0.12823017181393004,-0.09889808558466232,0.027642214115506557,0.04260745360542777
humidity (%),-0.0582358883381922,0.0011408947399933925,0.05271603619453401,0.10133938035008976,1.0,0.016885564505035332,-0.13810505184246794,-0.01420938070945114,0.012471820632614884,-0.021459899365874755,-0.009124838426608741,0.046993808398248786,0.017147869502812847,0.06307949330497037,-0.10193970799571864,-0.07397341413033375,0.02903095468753376,0.057525237000669485
precipitation (mm),-0.0468068188677482,-0.004007979541491843,0.02591535767805303,0.025639831176834892,0.016885564505035332,1.0,-0.008876263840404696,-0.04205262226078682,-0.06602528755875195,-0.07605213354139667,0.033227050372645554,0.024402378899874105,0.006419930149591806,-0.02646825067382581,-0.005332739767747729,0.015823383106323103,-0.014191545636146486,-0.0194950052114804
pressure (kPa),0.024016583247446648,-0.12777456653503588,0.2877524589531086,0.22180497128320031,-0.13810505184246794,-0.008876263840404696,1.0,0.10728563060205763,-0.2645496404190979,-0.00946414365217866,0.06259739412291453,-0.01598538098883685,0.018480678292721674,-0.047229786653830964,0.06564399138629164,0.029769736193510272,-0.04095897966414064,-0.06884293472413786
radiation (W/m2),-0.2286777638688744,0.10103279926650519,-0.05416883628437218,-0.03608517526464518,-0.01420938070945114,-0.04205262226078682,0.10728563060205763,1.0,0.7634686789958572,0.053365088864454895,0.04069813116526684,-0.04206627275872613,-0.024939574921650283,-0.16604218566421766,0.1697022696730198,-0.030735337353365547,0.08106271167098525,-0.07004872707409895
temperature (oC),-0.26379109747804497,0.3564160936848404,-0.16775453308715982,-0.14051729566289933,0.012471820632614884,-0.06602528755875195,-0.2645496404190979,0.7634686789958572,1.0,0.1297767639928615,-0.06781878980128843,-0.08677543060234882,-0.0900803686269692,-0.1055656896148644,0.20372997323725658,-0.0260520396318584,0.09731007356444263,-0.018244912590107163
windspeed (m/s),0.03149477057761814,0.02469063476352939,-0.047751478918682255,-0.039644912642523226,-0.021459899365874755,-0.07605213354139667,-0.00946414365217866,0.053365088864454895,0.1297767639928615,1.0,0.02037626164835953,-0.23751455161847454,-0.01089147475277282,0.038069234254234044,0.0384701712543332,-0.008441269009713696,0.05021229574316795,0.04276747146115788
winddirection_E,0.08426732719284172,-0.09527214259299702,-0.03327841261601617,-0.03645061750265785,-0.009124838426608741,0.033227050372645554,0.06259739412291453,0.04069813116526684,-0.06781878980128843,0.02037626164835953,1.0,-0.08932836549914495,-0.0868010626738508,-0.12537595751419722,-0.1565352437687019,-0.12856632872174473,-0.1395504448295795,-0.1284942182879017
winddirection_N,0.05279609685975092,-0.027388693768616596,0.058928353356198476,0.060934003879676985,0.046993808398248786,0.024402378899874105,-0.01598538098883685,-0.04206627275872613,-0.08677543060234882,-0.23751455161847454,-0.08932836549914495,1.0,-0.07599397314428254,-0.10976613482341653,-0.13704596170430536,-0.1125592916857691,-0.12217584013343209,-0.11249615929766779
winddirection_NE,0.06542474182942154,-0.07318895041151256,0.0042066056416745,0.023770336049182543,0.017147869502812847,0.006419930149591806,0.018480678292721674,-0.024939574921650283,-0.0900803686269692,-0.01089147475277282,-0.0868010626738508,-0.07599397314428254,1.0,-0.10666060097521803,-0.13316861944831804,-0.10937473307102719,-0.11871920747007512,-0.10931338684193047
