Hour,PM2.5(Ug/m3),PM10(Ug/m3),hour,Date,Time(hrs),TimeStamp
00:00:00,41.4,49.84,0,2019-06-04,0 days 00:00:00.000000000,2019-06-04 00:00:00
01:00:00,39.09,46.47,1,2019-06-04,0 days 01:00:00.000000000,2019-06-04 01:00:00
02:00:00,34.24,40.85,2,2019-06-04,0 days 02:00:00.000000000,2019-06-04 02:00:00
03:00:00,30.97,36.81,3,2019-06-04,0 days 03:00:00.000000000,2019-06-04 03:00:00
04:00:00,33.39,39.57,4,2019-06-04,0 days 04:00:00.000000000,2019-06-04 04:00:00
05:00:00,43.98,51.37,5,2019-06-04,0 days 05:00:00.000000000,2019-06-04 05:00:00
06:00:00,66.64,75.27,6,2019-06-04,0 days 06:00:00.000000000,2019-06-04 06:00:00
07:00:00,81.48,92.04,7,2019-06-04,0 days 07:00:00.000000000,2019-06-04 07:00:00
08:00:00,74.43,85.02,8,2019-06-04,0 days 08:00:00.000000000,2019-06-04 08:00:00
09:00:00,61.91,71.53,9,2019-06-04,0 days 09:00:00.000000000,2019-06-04 09:00:00
10:00:00,60.8,69.8,10,2019-06-04,0 days 10:00:00.000000000,2019-06-04 10:00:00
11:00:00,39.12,45.92,11,2019-06-04,0 days 11:00:00.000000000,2019-06-04 11:00:00
12:00:00,34.18,40.12,12,2019-06-04,0 days 12:00:00.000000000,2019-06-04 12:00:00
13:00:00,33.59,39.2,13,2019-06-04,0 days 13:00:00.000000000,2019-06-04 13:00:00
14:00:00,33.27,38.79,14,2019-06-04,0 days 14:00:00.000000000,2019-06-04 14:00:00
15:00:00,31.31,36.59,15,2019-06-04,0 days 15:00:00.000000000,2019-06-04 15:00:00
16:00:00,36.74,43.07,16,2019-06-04,0 days 16:00:00.000000000,2019-06-04 16:00:00
17:00:00,44.12,52.15,17,2019-06-04,0 days 17:00:00.000000000,2019-06-04 17:00:00
18:00:00,63.32,73.79,18,2019-06-04,0 days 18:00:00.000000000,2019-06-04 18:00:00
19:00:00,70.31,81.95,19,2019-06-04,0 days 19:00:00.000000000,2019-06-04 19:00:00
20:00:00,74.77,86.06,20,2019-06-04,0 days 20:00:00.000000000,2019-06-04 20:00:00
21:00:00,70.71,82.43,21,2019-06-04,0 days 21:00:00.000000000,2019-06-04 21:00:00
22:00:00,58.04,68.83,22,2019-06-04,0 days 22:00:00.000000000,2019-06-04 22:00:00
23:00:00,49.28,58.95,23,2019-06-04,0 days 23:00:00.000000000,2019-06-04 23:00:00
