TimeStamp,PM2.5(Ug/m3),PM10(Ug/m3)
2019-03-28,74.59,80.64
2019-03-29,47.45,54.88
2019-03-30,63.26,72.78
2019-03-31,44.08,50.8
2019-04-01,49.66,57.35
2019-04-02,43.88,50.4
2019-04-03,54.04,62.54
2019-04-04,49.92,57.52
2019-04-05,48.92,56.43
2019-04-06,49.42,57.66
2019-04-07,52.89,62.73
2019-04-08,55.69,65.76
2019-04-09,52.53,61.7
2019-04-10,55.44,65.26
2019-04-11,56.87,66.7
2019-04-12,46.74,54.24
2019-04-13,43.0,50.37
2019-04-14,51.12,60.14
2019-04-15,56.67,64.15
2019-04-16,49.69,57.86
2019-04-17,57.91,67.45
2019-04-18,65.82,76.28
2019-04-19,57.92,67.67
2019-04-20,57.86,67.21
2019-04-21,41.93,49.78
2019-04-22,35.5,41.09
2019-04-23,41.84,48.78
2019-04-24,49.77,58.43
2019-04-25,51.22,60.74
2019-04-26,45.25,52.68
2019-04-27,46.08,53.88
2019-04-28,51.89,59.87
2019-04-29,49.56,59.15
2019-04-30,43.27,51.14
2019-05-01,52.44,61.24
2019-05-02,57.94,67.33
2019-05-03,64.84,74.85
2019-05-04,41.63,49.65
2019-05-05,35.08,41.55
2019-05-06,37.52,43.81
2019-05-07,42.18,48.13
2019-05-08,50.25,58.43
2019-05-09,54.34,63.63
2019-05-10,62.18,73.73
2019-05-11,53.69,62.88
2019-05-12,40.95,47.57
2019-05-13,38.39,44.88
2019-05-14,48.27,56.05
2019-05-15,44.13,51.02
2019-05-16,42.41,49.95
2019-05-17,50.64,58.17
2019-05-18,44.18,51.84
2019-05-20,57.47,66.81
2019-05-21,46.42,55.13
2019-05-22,56.54,66.42
2019-05-23,49.43,57.14
2019-05-24,56.06,64.38
2019-05-25,61.52,72.12
2019-05-26,53.52,61.41
2019-05-27,43.1,50.22
2019-05-28,59.22,67.74
2019-05-29,53.11,62.86
2019-05-30,56.12,64.06
