TimeStamp,PM2.5(Ug/m3),PM10(Ug/m3),hour,Hour
2019-03-28 10:00:00,74.59,80.64,10,0 days 10:00:00.000000000
2019-03-28 11:00:00,39.12,45.92,11,0 days 11:00:00.000000000
2019-03-28 12:00:00,34.18,40.12,12,0 days 12:00:00.000000000
2019-03-28 13:00:00,33.59,39.2,13,0 days 13:00:00.000000000
2019-03-28 14:00:00,33.27,38.79,14,0 days 14:00:00.000000000
2019-03-28 15:00:00,31.31,36.59,15,0 days 15:00:00.000000000
2019-03-28 16:00:00,36.74,43.07,16,0 days 16:00:00.000000000
2019-03-28 17:00:00,44.12,52.15,17,0 days 17:00:00.000000000
2019-03-28 18:00:00,63.32,73.79,18,0 days 18:00:00.000000000
2019-03-28 19:00:00,70.31,81.95,19,0 days 19:00:00.000000000
2019-03-28 20:00:00,74.77,86.06,20,0 days 20:00:00.000000000
2019-03-28 21:00:00,70.71,82.43,21,0 days 21:00:00.000000000
2019-03-28 22:00:00,58.04,68.83,22,0 days 22:00:00.000000000
2019-03-28 23:00:00,49.28,58.95,23,0 days 23:00:00.000000000
2019-03-29 00:00:00,41.4,49.84,0,0 days 00:00:00.000000000
2019-03-29 01:00:00,39.09,46.47,1,0 days 01:00:00.000000000
2019-03-29 02:00:00,34.24,40.85,2,0 days 02:00:00.000000000
2019-03-29 03:00:00,30.97,36.81,3,0 days 03:00:00.000000000
2019-03-29 04:00:00,33.39,39.57,4,0 days 04:00:00.000000000
2019-03-29 05:00:00,43.98,51.37,5,0 days 05:00:00.000000000
2019-03-29 06:00:00,66.64,75.27,6,0 days 06:00:00.000000000
2019-03-29 07:00:00,81.48,92.04,7,0 days 07:00:00.000000000
2019-03-29 08:00:00,74.43,85.02,8,0 days 08:00:00.000000000
2019-03-29 09:00:00,61.91,71.53,9,0 days 09:00:00.000000000
2019-03-29 10:00:00,60.8,69.8,10,0 days 10:00:00.000000000
2019-03-29 11:00:00,39.12,45.92,11,0 days 11:00:00.000000000
2019-03-29 12:00:00,44.03,49.98,12,0 days 12:00:00.000000000
2019-03-29 13:00:00,33.7,38.95,13,0 days 13:00:00.000000000
2019-03-29 14:00:00,32.18,36.93,14,0 days 14:00:00.000000000
2019-03-29 15:00:00,33.33,37.99,15,0 days 15:00:00.000000000
2019-03-29 16:00:00,33.33,38.94,16,0 days 16:00:00.000000000
2019-03-29 17:00:00,37.49,44.45,17,0 days 17:00:00.000000000
2019-03-29 18:00:00,39.41,47.19,18,0 days 18:00:00.000000000
2019-03-29 19:00:00,54.42,64.52,19,0 days 19:00:00.000000000
2019-03-29 20:00:00,83.67,92.95,20,0 days 20:00:00.000000000
2019-03-29 21:00:00,56.91,66.59,21,0 days 21:00:00.000000000
2019-03-29 22:00:00,65.21,75.3,22,0 days 22:00:00.000000000
2019-03-29 23:00:00,55.5,64.18,23,0 days 23:00:00.000000000
2019-03-30 00:00:00,48.74,59.24,0,0 days 00:00:00.000000000
2019-03-30 01:00:00,31.79,37.14,1,0 days 01:00:00.000000000
2019-03-30 02:00:00,39.8,48.01,2,0 days 02:00:00.000000000
2019-03-30 03:00:00,50.23,58.96,3,0 days 03:00:00.000000000
2019-03-30 04:00:00,57.02,67.07,4,0 days 04:00:00.000000000
2019-03-30 05:00:00,68.99,78.75,5,0 days 05:00:00.000000000
2019-03-30 06:00:00,113.52,122.16,6,0 days 06:00:00.000000000
2019-03-30 07:00:00,167.14,186.18,7,0 days 07:00:00.000000000
2019-03-30 08:00:00,176.05,198.66,8,0 days 08:00:00.000000000
2019-03-30 09:00:00,90.6,104.31,9,0 days 09:00:00.000000000
2019-03-30 10:00:00,53.6,64.13,10,0 days 10:00:00.000000000
2019-03-30 11:00:00,42.49,51.07,11,0 days 11:00:00.000000000
2019-03-30 12:00:00,31.92,36.57,12,0 days 12:00:00.000000000
2019-03-30 13:00:00,29.05,33.49,13,0 days 13:00:00.000000000
