TimeStamp,PM2.5(Ug/m3),PM10(Ug/m3),EVI,NDVI,average humidity (%),total rainfall (mm),average pressure (kPa),total radiation (W/m2),average temperature (oC),average windspeed (m/s),min windspeed (m/s),max windspeed (m/s),winddirection_E,winddirection_N,winddirection_NE,winddirection_NW,winddirection_S,winddirection_SE,winddirection_SW,winddirection_W
2019-03-28,74.59,80.64,0.1692,0.2947,81.42,0.34,87.932,4773.22,22.14,0.75,0.39,1.48,0,0,1,0,0,0,0,0
2019-03-29,47.45,54.88,0.1692,0.2947,76.5,0.0,87.715,5844.6,24.02,0.6,0.27,1.01,0,0,1,0,0,0,0,0
2019-03-30,63.26,72.78,0.1692,0.2947,78.13,0.0,87.709,4383.03,23.55,0.66,0.2,1.26,0,0,0,0,1,0,0,0
2019-03-31,44.08,50.8,0.1692,0.2947,75.5,0.0,87.62700000000001,4935.39,24.23,0.66,0.24,1.3,0,0,0,0,1,0,0,0
2019-04-01,49.66,57.35,0.2058,0.344,74.79,0.0,87.65799999999999,5582.26,24.24,0.78,0.28,1.25,0,0,0,0,1,0,0,0
2019-04-02,43.88,50.4,0.2058,0.344,80.54,4.88,87.71,4538.82,22.06,0.71,0.22,1.57,0,1,0,0,0,0,0,0
2019-04-03,54.04,62.54,0.2058,0.344,74.54,0.05,87.625,5160.32,24.28,0.59,0.26,1.13,0,0,0,0,1,0,0,0
2019-04-04,49.92,57.52,0.2058,0.344,77.92,0.29,87.6,4139.2,24.1,0.61,0.2,1.18,0,0,0,0,1,0,0,0
2019-04-05,48.92,56.43,0.2058,0.344,78.21,0.0,87.59100000000001,5766.86,24.72,0.68,0.19,1.37,0,0,0,0,1,0,0,0
2019-04-06,49.42,57.66,0.2058,0.344,75.88,0.06,87.55799999999999,6202.4,25.2,0.65,0.2,1.19,0,0,0,0,1,0,0,0
2019-04-07,52.89,62.73,0.2058,0.344,72.46,0.0,87.588,4296.95,25.33,0.65,0.23,1.29,0,0,0,0,1,0,0,0
2019-04-08,55.69,65.76,0.2058,0.344,74.04,0.0,87.57799999999999,4297.28,24.83,0.64,0.23,1.17,0,0,1,0,0,0,0,0
2019-04-09,52.53,61.7,0.2058,0.344,91.33,53.44,87.671,1871.91,20.27,0.71,0.23,1.23,1,0,0,0,0,0,0,0
2019-04-10,55.44,65.26,0.2058,0.344,79.88,0.0,87.699,4711.75,22.25,0.62,0.22,1.11,0,0,0,0,0,1,0,0
2019-04-11,56.87,66.7,0.2058,0.344,78.33,0.0,87.569,5620.23,23.81,0.62,0.26,1.17,0,0,0,0,1,0,0,0
2019-04-12,46.74,54.24,0.2058,0.344,81.67,16.01,87.53399999999999,4696.81,23.26,0.68,0.3,1.14,0,0,1,0,0,0,0,0
2019-04-13,43.0,50.37,0.2058,0.344,85.13,8.68,87.63600000000001,4872.37,22.22,0.75,0.38,1.12,0,0,1,0,0,0,0,0
2019-04-14,51.12,60.14,0.2058,0.344,79.25,8.61,87.65100000000001,3998.54,23.58,0.55,0.24,1.17,0,0,0,0,1,0,0,0
2019-04-15,56.67,64.15,0.2058,0.344,81.71,4.62,87.70299999999999,4482.13,23.23,0.61,0.26,1.14,0,0,0,1,0,0,0,0
2019-04-16,49.69,57.86,0.2058,0.344,78.54,0.0,87.76700000000001,4354.39,22.77,0.65,0.28,1.22,0,0,1,0,0,0,0,0
2019-04-17,57.91,67.45,0.2058,0.344,76.75,0.0,87.765,3598.78,22.45,0.55,0.18,1.0,0,0,1,0,0,0,0,0
2019-04-18,65.82,76.28,0.2058,0.344,76.38,0.04,87.72,6159.33,24.31,0.63,0.21,1.41,0,0,0,0,1,0,0,0
2019-04-19,57.92,67.67,0.2058,0.344,77.83,0.12,87.62100000000001,5810.26,24.84,0.68,0.24,1.17,0,0,0,0,1,0,0,0
2019-04-20,57.86,67.21,0.2058,0.344,70.04,0.39,87.626,4941.52,24.51,0.81,0.23,1.58,0,0,1,0,0,0,0,0
2019-04-21,41.93,49.78,0.2058,0.344,76.71,30.67,87.55,4996.01,23.72,0.69,0.23,1.24,0,0,0,0,1,0,0,0
2019-04-22,35.5,41.09,0.2058,0.344,84.38,11.78,87.72200000000001,4792.4,21.65,0.68,0.23,1.1,0,0,0,0,0,1,0,0
2019-04-23,41.84,48.78,0.2058,0.344,81.54,0.05,87.84899999999999,3554.45,22.15,0.63,0.26,1.0,0,0,0,0,1,0,0,0
2019-04-24,49.77,58.43,0.2058,0.344,78.13,0.0,87.74700000000001,4900.09,23.99,0.54,0.14,0.98,0,0,0,0,1,0,0,0
2019-04-25,51.22,60.74,0.2058,0.344,79.17,36.32,87.69200000000001,4210.7,24.02,0.68,0.29,1.09,1,0,0,0,0,0,0,0
2019-04-26,45.25,52.68,0.2058,0.344,90.63,3.78,87.81,2974.96,21.07,0.6,0.17,0.9,0,0,1,0,0,0,0,0
2019-04-27,46.08,53.88,0.2058,0.344,85.21,2.37,87.876,3479.47,21.61,0.6,0.16,1.03,0,0,0,0,1,0,0,0
2019-04-28,51.89,59.87,0.2058,0.344,82.79,0.0,87.75200000000001,4297.77,23.26,0.54,0.19,1.16,0,0,0,0,1,0,0,0
