,PM2.5(Ug/m3),PM10(Ug/m3),hour,EVI,NDVI,humidity (%),precipitation (mm),pressure (kPa),radiation (W/m2),temperature (oC),windspeed (m/s),winddirection_E,winddirection_N,winddirection_NE,winddirection_NW,winddirection_S,winddirection_SE,winddirection_SW,winddirection_W
PM2.5(Ug/m3),1.0,0.9976354846410863,0.19046729183050382,-0.012806028271575752,-0.01220199148345748,0.19930146370384363,-0.09585962050942484,0.1290663330398942,-0.2954792265565109,-0.22839499839875332,-0.3461927336830436,0.02023919092612571,0.06294892829693685,0.055195584999323026,0.060950497090625014,-0.19407060356689437,-0.008149915340515906,0.01796011634126927,0.10963299460855985
PM10(Ug/m3),0.9976354846410863,1.0,0.2038077590592549,-0.012372577771111615,-0.011992222228601442,0.20000777129338274,-0.10159763284025167,0.12441041067898775,-0.31103784504297644,-0.23042410020347848,-0.3615546049625505,0.02131144151381701,0.061873860921616286,0.053883539305024326,0.06540425003935263,-0.1993777264249182,-0.012992774176773553,0.023327942991175195,0.11649018438815327
hour,0.19046729183050382,0.2038077590592549,1.0,-0.02072818432267371,-0.019559344399643908,-0.44959435002815806,-0.13790854765152388,-0.19595958863516347,0.11569506449530681,0.39853921550514215,0.11535735049952417,-0.17139892459810738,-0.12522917073763595,-0.1633298372632045,-0.025727879876576692,0.17441947682454345,0.0035377744123383423,0.16533954779228896,0.12550652646614383
EVI,-0.012806028271575752,-0.012372577771111615,-0.02072818432267371,1.0,0.9985772617092451,0.25696448690208207,0.024875200679474737,0.19018033606750684,-0.037295998949818054,-0.19388594144327953,-0.09541858942454408,0.03911318203340028,-0.056324137029710016,-0.07235411263470473,-0.023692511392165952,0.03759040816974024,0.06143393952393719,0.005805835288682489,-0.015501273198801513
NDVI,-0.01220199148345748,-0.011992222228601442,-0.019559344399643908,0.9985772617092451,1.0,0.2574842044742369,0.023453545683762175,0.197348575679284,-0.03626956241677716,-0.19481911803606422,-0.0946074610199903,0.03904508914667824,-0.05754281016299686,-0.07350350347401333,-0.024755440112050588,0.038662211280926735,0.06292457037053505,0.004605684434462269,-0.01353610063490307
humidity (%),0.19930146370384363,0.20000777129338274,-0.44959435002815806,0.25696448690208207,0.2574842044742369,1.0,0.17525564915961206,0.3793425329871153,-0.6261262322113442,-0.9294332218878084,-0.5335263743207307,0.18486993376484903,0.12645774856635558,0.18031929670659985,0.1158173011580683,-0.38268395824026274,0.05229494385756285,-0.10517217495820075,-0.019121430824167465
precipitation (mm),-0.09585962050942484,-0.10159763284025167,-0.13790854765152388,0.024875200679474737,0.023453545683762175,0.17525564915961206,1.0,0.04641349269903165,-0.09630231138135434,-0.19005765490165802,0.13032244489309747,0.014764188641972214,0.005872450402871677,0.0065234419431535635,0.0001058256359129484,-0.012732278673252887,0.030803042086009678,-0.018101994950348213,-0.032850602449326714
pressure (kPa),0.1290663330398942,0.12441041067898775,-0.19595958863516347,0.19018033606750684,0.197348575679284,0.3793425329871153,0.04641349269903165,1.0,0.13956979712345008,-0.36494028527349337,-0.013800718838125507,0.14280194775045837,0.01658225584881079,0.05231151638890294,0.01430610451568921,-0.1179599630580473,0.11659255482890325,-0.16411553740393808,-0.04391596168728459
radiation (W/m2),-0.2954792265565109,-0.31103784504297644,0.11569506449530681,-0.037295998949818054,-0.03626956241677716,-0.6261262322113442,-0.09630231138135434,0.13956979712345008,1.0,0.7084316358632963,0.7012053354305613,-0.06073117137133908,-0.09846183815260132,-0.07711478347111,-0.12131180948254593,0.3240582603959849,-0.005257147957270937,-0.068621853665461,-0.07703544108258298
temperature (oC),-0.22839499839875332,-0.23042410020347848,0.39853921550514215,-0.19388594144327953,-0.19481911803606422,-0.9294332218878084,-0.19005765490165802,-0.36494028527349337,0.7084316358632963,1.0,0.5582279207359819,-0.18164524839960713,-0.13770402634071255,-0.18317483461413028,-0.12697177744237984,0.4199077769124785,-0.04332423927595834,0.08026940426722418,-0.008606336999376976
windspeed (m/s),-0.3461927336830436,-0.3615546049625505,0.11535735049952417,-0.09541858942454408,-0.0946074610199903,-0.5335263743207307,0.13032244489309747,-0.013800718838125507,0.7012053354305613,0.5582279207359819,1.0,0.010845213842962543,-0.1917130518761556,-0.012023920825963383,-0.22989891989449926,0.3828385378121098,-0.02158318892566175,-0.06108062518488517,-0.14919311794091877
winddirection_E,0.02023919092612571,0.02131144151381701,-0.17139892459810738,0.03911318203340028,0.03904508914667824,0.18486993376484903,0.014764188641972214,0.14280194775045837,-0.06073117137133908,-0.18164524839960713,0.010845213842962543,1.0,-0.11864863136496864,-0.1643987437085394,-0.11193810984483607,-0.2507258048148592,-0.13839689694640656,-0.12754833841814092,-0.09521995982990467
winddirection_N,0.06294892829693685,0.061873860921616286,-0.12522917073763595,-0.056324137029710016,-0.05754281016299686,0.12645774856635558,0.005872450402871677,0.01658225584881079,-0.09846183815260132,-0.13770402634071255,-0.1917130518761556,-0.11864863136496864,1.0,-0.1280548281904361,-0.08719175767885703,-0.19529741611285995,-0.10780125480753337,-0.09935100593632144,-0.07416951809520639
winddirection_NE,0.055195584999323026,0.053883539305024326,-0.1633298372632045,-0.07235411263470473,-0.07350350347401333,0.18031929670659985,0.0065234419431535635,0.05231151638890294,-0.07711478347111,-0.18317483461413028,-0.012023920825963383,-0.1643987437085394,-0.1280548281904361,1.0,-0.1208123116064448,-0.27060278310094243,-0.14936869188188814,-0.13766008401622196,-0.10276878423327102
winddirection_NW,0.060950497090625014,0.06540425003935263,-0.025727879876576692,-0.023692511392165952,-0.024755440112050588,0.1158173011580683,0.0001058256359129484,0.01430610451568921,-0.12131180948254593,-0.12697177744237984,-0.22989891989449926,-0.11193810984483607,-0.08719175767885703,-0.1208123116064448,1.0,-0.184251797646176,-0.1017042385001318,-0.09373191825100874,-0.06997464334958324
winddirection_S,-0.19407060356689437,-0.1993777264249182,0.17441947682454345,0.03759040816974024,0.038662211280926735,-0.38268395824026274,-0.012732278673252887,-0.1179599630580473,0.3240582603959849,0.4199077769124785,0.3828385378121098,-0.2507258048148592,-0.19529741611285995,-0.27060278310094243,-0.184251797646176,1.0,-0.2278033556790834,-0.20994646660463975,-0.15673347347723554
winddirection_SE,-0.008149915340515906,-0.012992774176773553,0.0035377744123383423,0.06143393952393719,0.06292457037053505,0.05229494385756285,0.030803042086009678,0.11659255482890325,-0.005257147957270937,-0.04332423927595834,-0.02158318892566175,-0.13839689694640656,-0.10780125480753337,-0.14936869188188814,-0.1017042385001318,-0.2278033556790834,1.0,-0.11588731173641657,-0.0865145348437414
winddirection_SW,0.01796011634126927,0.023327942991175195,0.16533954779228896,0.005805835288682489,0.004605684434462269,-0.10517217495820075,-0.018101994950348213,-0.16411553740393808,-0.068621853665461,0.08026940426722418,-0.06108062518488517,-0.12754833841814092,-0.09935100593632144,-0.13766008401622196,-0.09373191825100874,-0.20994646660463975,-0.11588731173641657,1.0,-0.07973289439148895
winddirection_W,0.10963299460855985,0.11649018438815327,0.12550652646614383,-0.015501273198801513,-0.01353610063490307,-0.019121430824167465,-0.032850602449326714,-0.04391596168728459,-0.07703544108258298,-0.008606336999376976,-0.14919311794091877,-0.09521995982990467,-0.07416951809520639,-0.10276878423327102,-0.06997464334958324,-0.15673347347723554,-0.0865145348437414,-0.07973289439148895,1.0
