Hour,PM2.5(Ug/m3)_Lubowa,PM2.5(Ug/m3)_Rubaga,PM2.5(Ug/m3)_Kireka,PM2.5(Ug/m3)_JinjaRoad,PM2.5(Ug/m3)_Nsambya
0:00:00,23.63,41.4,146.83,42.26,73.73
1:00:00,24.48,39.09,112.06,41.39,69.91
2:00:00,25.03,34.24,84.1,40.33,65.68
3:00:00,26.01,30.97,70.99,38.72,60.77
4:00:00,26.1,33.39,64.95,39.47,56.25
5:00:00,26.74,43.98,66.98,46.38,55.22
6:00:00,27.24,66.64,77.64,59.31,55.92
7:00:00,29.47,81.48,81.6,77.58,64.79
8:00:00,32.82,74.43,72.84,69.94,79.57
9:00:00,28.77,61.91,54.17,50.25,73.47
10:00:00,23,60.8,43.02,39.63,54.53
11:00:00,19.53,39.12,35.62,34.92,44.97
12:00:00,16.9,34.18,30.57,30.84,40.58
13:00:00,16.21,33.59,28.35,29.24,38.64
14:00:00,15.85,33.27,27.91,27.77,36.63
15:00:00,15.31,31.31,27.52,28,35.69
16:00:00,14.58,36.74,32.45,29.42,34.95
17:00:00,14.89,44.12,110.72,31.36,35.69
18:00:00,18.22,63.32,247.73,37.58,38.79
19:00:00,26.89,70.31,271.96,47.62,46.49
20:00:00,30.8,74.77,243.94,49.15,63.53
21:00:00,28.76,70.71,206.76,48.45,73.65
22:00:00,24.8,58.04,160.77,45.45,76.14
23:00:00,23.9,49.28,147.98,43.7,76.07
