Hour,PM2.5(Ug/m3)_Makerere,PM2.5(Ug/m3)_Bugolobi,PM2.5(Ug/m3)_Mulago,PM2.5(Ug/m3)_Makindye,PM2.5(Ug/m3)_Bukoto
0:00:00,11.92,23.4,32.53,22.76,39.18
1:00:00,11.66,21.73,29.9,22.14,32.78
2:00:00,12.43,21.12,24.95,21,30.04
3:00:00,10.61,21.59,21.78,19.19,27.2
4:00:00,10.82,21.13,19.59,18.15,26.81
5:00:00,10.86,21.35,19.48,18.53,25.39
6:00:00,11.12,22.35,19.57,19.48,28.97
7:00:00,12.11,24.29,22.53,21.54,34.61
8:00:00,14.42,21.19,31.48,18.48,30.93
9:00:00,14.26,17.4,17.32,12.93,23.35
10:00:00,11.75,14.98,12.25,9.87,18.09
11:00:00,10.15,13.45,10.63,8.89,15.46
12:00:00,9.48,11.47,9.37,8.44,13.11
13:00:00,8.5,11.6,10.79,8.5,12.75
14:00:00,7.57,12.59,10.38,8.56,12.08
15:00:00,6.4,12.35,10.8,11.81,11.53
16:00:00,6.44,13.47,9.06,11.81,12.09
17:00:00,6.33,14.14,11.36,9.68,15.24
18:00:00,6.93,17.24,15.52,11.59,19.46
19:00:00,9.97,20.46,20.51,17.95,27.56
20:00:00,12.09,21.7,29.18,22.78,32.71
21:00:00,12.97,22.37,31.99,22.81,34.08
22:00:00,12.53,22.61,31.85,23.4,34.11
23:00:00,12.87,22.78,32.23,23.77,34.68
