Hour,PM2.5(Ug/m3)_Mukono,PM2.5(Ug/m3)_Rubaga,PM2.5(Ug/m3)_Kireka,PM2.5(Ug/m3)_Bweyogerere,PM2.5(Ug/m3)_Seguku,PM2.5(Ug/m3)_Bunamwaya,PM2.5(Ug/m3)_Kawempe
0:00:00,35.42,46.85,145.96,73.86,43.97,50.34,68.16
1:00:00,32.28,43.02,115,54.13,39.08,46.42,57.85
2:00:00,29.97,38.26,90.67,48.84,35.47,41.54,53.71
3:00:00,32.54,35.18,73.54,45.44,33.96,39.23,48.54
4:00:00,34.12,38.33,67.91,46.32,35.16,38.43,46.93
5:00:00,39.43,48.91,70.8,50.43,39.3,42.12,51.93
6:00:00,55.08,71.88,78.1,63.81,66.29,55.78,71.37
7:00:00,77.85,85.65,82.41,74.27,69.05,72,92.63
8:00:00,93.52,77.51,72.67,67.33,61.01,61.6,81.55
9:00:00,68.65,65.78,55.05,54.1,48.46,47.84,60.19
10:00:00,69.58,62.11,46.2,47.07,41.71,36.99,51.71
11:00:00,49.12,42.87,37.96,40.41,36.48,30.99,45.79
12:00:00,43.59,37.5,32.58,36.29,32.24,27.99,43.87
13:00:00,34.74,37.64,31.4,34.22,26.22,26.31,41.87
14:00:00,29.17,36.23,29.97,34.19,25.08,24.96,39.81
15:00:00,30.63,34.2,30.19,35.4,25.66,25.75,41.37
16:00:00,34.77,38.51,34.72,35.54,31.1,25.68,43.76
17:00:00,37.58,50.85,106.9,37.58,39.18,31.44,46.86
18:00:00,48.34,64.96,240.98,45.91,48.52,42.16,64.02
19:00:00,56.73,74.15,262.69,57.82,62.43,55.36,89.31
20:00:00,51.91,77.38,231.1,57.54,64.22,57.84,101.28
21:00:00,45.16,73.54,194.96,65.17,61.82,56.33,93.95
22:00:00,46.74,61.24,157.88,77.04,55.61,57.93,80.72
23:00:00,39.91,53.07,144.54,84.55,50.78,56.32,80.67
