TimeStamp,Sensor1 PM2.5_CF_1_ug/m3,Sensor1 PM10_CF_1_ug/m3,Sensor2PM2.5_CF_1_ug/m3,Sensor2 PM10_CF_1_ug/m3,Sensor1 and Sensor2 Average PM2.5_CF_1_ug/m3 ,Sensor1 and Sensor2 Average_PM10_CF_1_ug/m3
2019-05-09 00:00:00,28.07,30.02,28.54,31.19,28.31,30.6
2019-05-09 01:00:00,36.42,42.44,36.83,43.79,36.62,43.11
2019-05-09 02:00:00,40.55,48.49,41.25,50.12,40.9,49.3
2019-05-09 03:00:00,43.38,52.31,44.27,54.43,43.83,53.37
2019-05-09 04:00:00,47.49,57.99,48.29,59.89,47.89,58.94
2019-05-09 05:00:00,54.02,65.21,54.47,66.45,54.24,65.83
2019-05-09 06:00:00,62.6,72.21,64.66,74.64,63.63,73.43
2019-05-09 07:00:00,62.68,72.1,64.47,74.08,63.57,73.09
2019-05-09 08:00:00,41.34,45.5,42.95,47.89,42.14,46.7
2019-05-09 09:00:00,32.11,33.59,33.63,35.6,32.87,34.6
2019-05-09 10:00:00,3.49,3.65,3.67,3.92,3.58,3.79
2019-05-09 11:00:00,12.35,13.35,12.8,14.11,12.58,13.73
2019-05-09 12:00:00,5.1,5.27,5.14,5.43,5.12,5.35
2019-05-09 13:00:00,7.36,7.71,7.07,7.53,7.22,7.62
2019-05-09 14:00:00,4.66,4.82,4.46,4.81,4.56,4.81
2019-05-09 15:00:00,19.44,21.69,19.59,22.54,19.52,22.11
2019-05-09 16:00:00,7.74,8.19,7.78,8.58,7.76,8.39
2019-05-09 17:00:00,4.72,5.0,4.49,5.04,4.61,5.02
2019-05-09 18:00:00,8.28,8.67,8.84,9.61,8.56,9.14
2019-05-09 19:00:00,33.83,38.85,35.24,41.02,34.53,39.94
2019-05-09 20:00:00,37.56,44.25,38.64,46.25,38.1,45.25
2019-05-09 21:00:00,20.98,21.77,22.03,23.49,21.5,22.63
2019-05-09 22:00:00,14.28,14.83,15.4,16.49,14.84,15.66
2019-05-09 23:00:00,13.74,14.3,14.11,15.16,13.92,14.73
2019-05-10 00:00:00,7.61,7.94,7.16,7.55,7.39,7.74
2019-05-10 01:00:00,12.96,13.57,13.17,14.36,13.06,13.96
2019-05-10 02:00:00,16.89,17.97,16.86,18.54,16.88,18.25
2019-05-10 03:00:00,42.09,47.86,44.08,51.36,43.09,49.61
2019-05-10 04:00:00,62.57,75.05,65.34,79.38,63.96,77.21
2019-05-10 05:00:00,50.44,61.41,52.03,64.7,51.24,63.06
2019-05-10 06:00:00,41.2,49.49,41.97,51.55,41.58,50.52
2019-05-10 07:00:00,44.43,53.91,45.3,55.77,44.86,54.84
2019-05-10 08:00:00,50.61,59.38,52.35,61.77,51.48,60.57
2019-05-10 09:00:00,26.45,29.54,27.57,31.48,27.01,30.51
2019-05-10 10:00:00,10.31,10.69,10.5,11.14,10.4,10.92
2019-05-10 11:00:00,9.81,10.16,9.68,10.35,9.75,10.26
2019-05-10 12:00:00,9.91,10.39,9.73,10.14,9.82,10.27
2019-05-10 13:00:00,8.52,8.88,8.18,8.81,8.35,8.84
2019-05-10 14:00:00,7.33,7.56,7.29,7.91,7.31,7.74
2019-05-10 15:00:00,7.63,7.91,7.44,7.98,7.53,7.95
2019-05-10 16:00:00,9.24,9.64,9.13,9.86,9.18,9.75
