Time (UTC),Barometric Pressure (mbar),Temperature (degrees F),Dewpoint (degrees F),Relative Humidity (%),Wind speed (mph),Wind direction (degrees),Analysis Barometric Pressure (mbar),Analysis Temperature (degrees F),Analysis Dewpoint (degrees F),Analysis Relative Humidity (%),Analysis Wind speed (mph),Analysis Wind direction (degrees)
11/25/2017 15:00,1004.83,77.4,64.4,64,3,290,,,,,,
11/26/2017 15:00,1006.28,75.9,65.1,69,4,180,,,,,,
11/27/2017 6:00,1009.75,72.5,68.5,87,0,0,,,,,,
11/27/2017 9:00,1008.41,79.5,66.4,64,4,180,,,,,,
11/27/2017 12:00,1006.06,73.4,68,83,0,0,,,,,,
11/29/2017 9:00,1008.85,68.9,64.4,85,0,0,,,,,,
11/29/2017 15:00,1004.61,79.7,66.2,63,2,340,,,,,,
11/30/2017 6:00,1008.74,68,64,87,3,290,,,,,,
11/30/2017 12:00,1006.06,77.9,66.9,69,2,200,,,,,,
11/30/2017 15:00,1004.72,75.9,65.5,70,2,180,,,,,,
12/1/2017 6:00,1008.52,71.6,64.9,79,2,180,,,,,,
12/1/2017 9:00,1007.63,78.3,64.2,62,3,180,,,,,,
12/1/2017 12:00,1004.16,77.9,64.4,63,3,160,,,,,,
12/1/2017 15:00,,74.3,64.9,72,3,140,,,,,,
12/2/2017 6:00,1008.3,69.8,65.8,87,0,0,,,,,,
12/2/2017 9:00,1007.18,78.8,65.8,64,0,0,,,,,,
12/2/2017 12:00,1004.05,80.6,61.7,52,6,340,,,,,,
12/2/2017 15:00,1003.6,79.2,61.9,55,4,320,,,,,,
12/3/2017 6:00,1008.18,70.9,66.6,86,0,0,,,,,,
12/3/2017 9:00,1008.18,79.5,64.9,61,4,340,,,,,,
12/3/2017 12:00,1005.73,75.9,65.5,70,6,90,,,,,,
12/3/2017 15:00,1004.94,76.1,66.2,71,2,180,,,,,,
12/4/2017 6:00,1008.41,68.7,66.6,92,0,0,,,,,,
12/4/2017 9:00,1007.74,75.2,68.2,78,2,270,,,,,,
12/5/2017 15:00,1003.04,79.2,61.9,55,2,160,,,,,,
12/6/2017 9:00,1006.62,69.4,67.3,92,4,180,,,,,,
12/6/2017 12:00,1003.71,78.8,65.3,63,2,160,,,,,,
12/7/2017 6:00,1006.28,73,69.3,87,6,110,,,,,,
12/8/2017 6:00,1005.95,70.2,68.4,94,0,0,,,,,,
12/8/2017 9:00,1005.05,78.1,65.7,65,0,0,,,,,,
12/8/2017 12:00,1002.26,78.8,67.5,68,3,180,,,,,,
12/8/2017 15:00,1001.7,78.1,66.2,66,4,160,,,,,,
12/9/2017 12:00,1002.26,78.1,65.7,65,5,270,,,,,,
12/10/2017 6:00,1006.4,71.6,67.8,87,2,290,,,,,,
12/10/2017 9:00,1005.84,77.7,65.8,66,2,20,,,,,,
12/10/2017 15:00,1003.71,77,65.7,68,0,0,,,,,,
12/11/2017 6:00,1008.41,68.9,62.2,79,3,290,,,,,,
12/11/2017 9:00,1007.85,76.1,61.3,60,2,90,,,,,,
12/11/2017 12:00,1005.39,81.5,61.9,51,6,180,,,,,,
12/11/2017 15:00,1005.17,77,64.9,66,2,160,,,,,,
12/12/2017 6:00,,68,65.3,91,0,0,,,,,,
