"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2017-05-01 00:00:00,,68.0,68.0,100,6,20,,,,,,
2017-05-01 01:00:00,,68.0,68.0,100,5,40,,,,,,
2017-05-01 02:00:00,,68.0,68.0,100,9,70,,,,,,
2017-05-01 03:00:00,,66.2,66.2,100,6,210,,,,,,
2017-05-01 04:00:00,,66.2,66.2,100,10,110,,,,,,
2017-05-01 05:00:00,,66.2,66.2,100,6,140,,,,,,
2017-05-01 06:00:00,,66.2,66.2,100,8,80,,,,,,
2017-05-01 07:00:00,,66.2,66.2,100,6,130,,,,,,
2017-05-01 08:00:00,,66.2,66.2,100,5,360,,,,,,
2017-05-01 10:00:00,,69.8,66.2,88,5,90,,,,,,
2017-05-01 11:00:00,,73.4,64.4,73,7,120,,,,,,
2017-05-01 13:00:00,,75.2,64.4,69,7,200,,,,,,
2017-05-01 14:00:00,,75.2,66.2,73,8,230,,,,,,
2017-05-01 16:00:00,,71.6,66.2,83,6,220,,,,,,
2017-05-01 17:00:00,,69.8,68.0,94,5,220,,,,,,
2017-05-01 18:00:00,1019.27,69.8,67.1,91,7,200,,,,,,
2017-05-01 19:00:00,,69.8,68.0,94,5,180,,,,,,
2017-05-01 20:00:00,,71.6,68.0,88,8,180,,,,,,
2017-05-01 22:00:00,,71.6,66.2,83,12,160,,,,,,
2017-05-01 23:00:00,,71.6,66.2,83,8,160,,,,,,
2017-05-02 01:00:00,,71.6,68.0,88,12,160,,,,,,
2017-05-02 02:00:00,,71.6,68.0,88,8,120,,,,,,
2017-05-02 04:00:00,,71.6,68.0,88,6,160,,,,,,
2017-05-02 05:00:00,,71.6,69.8,94,10,300,,,,,,
2017-05-02 07:00:00,,66.2,66.2,100,16,180,,,,,,
2017-05-02 08:00:00,,66.2,66.2,100,8,260,,,,,,
2017-05-02 10:00:00,,64.4,64.4,100,15,230,,,,,,
2017-05-02 11:00:00,,66.2,66.2,100,7,110,,,,,,
2017-05-02 13:00:00,,69.8,64.4,83,7,150,,,,,,
2017-05-02 14:00:00,,73.4,66.2,78,8,180,,,,,,
2017-05-02 16:00:00,,71.6,68.0,88,8,240,,,,,,
2017-05-02 17:00:00,,71.6,68.0,88,8,160,,,,,,
2017-05-02 18:00:00,1017.70,69.6,68.7,96,6,360,,,,,,
2017-05-02 19:00:00,,69.8,69.8,100,8,180,,,,,,
2017-05-02 20:00:00,,69.8,69.8,100,5,360,,,,,,
2017-05-02 21:00:00,1018.71,68.7,68.5,99,4,350,,,,,,
2017-05-02 22:00:00,,68.0,68.0,100,5,340,,,,,,
2017-05-02 23:00:00,,68.0,68.0,100,8,40,,,,,,
2017-05-03 00:00:00,1016.69,68.4,67.8,98,16,20,,,,,,
2017-05-03 01:00:00,,68.0,66.2,93,6,340,,,,,,
2017-05-03 02:00:00,,68.0,66.2,93,5,360,,,,,,
2017-05-03 04:00:00,,68.0,68.0,100,8,160,,,,,,
2017-05-03 05:00:00,,69.8,68.0,94,12,220,,,,,,
2017-05-03 07:00:00,,,,,13,120,,,,,,
2017-05-03 08:00:00,,69.8,68.0,94,12,150,,,,,,
2017-05-03 10:00:00,,73.4,68.0,83,8,80,,,,,,
2017-05-03 11:00:00,,73.4,68.0,83,7,100,,,,,,
2017-05-03 12:00:00,1016.81,75.2,66.9,75,8,70,,,,,,
2017-05-03 13:00:00,,75.2,68.0,78,9,140,,,,,,
2017-05-03 14:00:00,,75.2,66.2,73,8,150,,,,,,
2017-05-03 16:00:00,,73.4,66.2,78,8,180,,,,,,
2017-05-03 17:00:00,,71.6,68.0,88,10,170,,,,,,
2017-05-03 18:00:00,1016.81,71.6,67.8,87,10,190,,,,,,
2017-05-03 19:00:00,,71.6,68.0,88,11,200,,,,,,
2017-05-03 20:00:00,,69.8,68.0,94,11,180,,,,,,
2017-05-03 21:00:00,1017.59,70.7,68.2,91,7,200,,,,,,
2017-05-03 22:00:00,,69.8,69.8,100,6,350,,,,,,
2017-05-03 23:00:00,,68.0,68.0,100,4,20,,,,,,
2017-05-04 01:00:00,,68.0,68.0,100,5,340,,,,,,
2017-05-04 02:00:00,,68.0,68.0,100,4,350,,,,,,
2017-05-04 04:00:00,,66.2,66.2,100,9,140,,,,,,
2017-05-04 05:00:00,,68.0,68.0,100,7,80,,,,,,
2017-05-04 07:00:00,,75.2,69.8,83,7,140,,,,,,
2017-05-04 08:00:00,,77.0,69.8,78,10,180,,,,,,
2017-05-04 14:00:00,,78.8,68.0,69,8,180,,,,,,
2017-05-04 15:00:00,1015.02,76.1,68.9,78,8,90,,,,,,
2017-05-04 17:00:00,1016.00,73.4,68.0,83,7,150,,,,,,
2017-05-04 18:00:00,1016.47,72.7,68.7,87,6,160,,,,,,
2017-05-04 19:00:00,,73.4,68.0,83,7,160,,,,,,
2017-05-04 20:00:00,,73.4,69.8,88,6,160,,,,,,
2017-05-04 21:00:00,1018.04,71.6,69.4,92,9,340,,,,,,
2017-05-04 22:00:00,,68.0,68.0,100,4,330,,,,,,
2017-05-04 23:00:00,,69.8,68.0,94,6,330,,,,,,
2017-05-05 01:00:00,,68.0,68.0,100,8,300,,,,,,
2017-05-05 02:00:00,,68.0,68.0,100,7,100,,,,,,
2017-05-05 03:00:00,1017.14,68.2,66.7,95,8,100,,,,,,
2017-05-05 04:00:00,,69.8,68.0,94,8,110,,,,,,
2017-05-05 05:00:00,,71.6,68.0,88,7,140,,,,,,
2017-05-05 07:00:00,,75.2,69.8,83,4,180,,,,,,
2017-05-05 08:00:00,,75.2,69.8,83,8,230,,,,,,
2017-05-05 13:00:00,1015.00,73.4,68.0,83,16,320,,,,,,
2017-05-05 17:00:00,1016.00,71.6,69.8,94,5,190,,,,,,
2017-05-05 18:00:00,1017.59,72.3,69.4,90,5,270,,,,,,
2017-05-05 19:00:00,1017.00,71.6,71.6,100,6,270,,,,,,
2017-05-05 20:00:00,1017.00,71.6,71.6,100,3,270,,,,,,
2017-05-05 21:00:00,,71.8,71.1,97,5,290,,,,,,
2017-05-05 22:00:00,1017.00,71.6,69.8,94,5,320,,,,,,
2017-05-05 23:00:00,1016.00,71.6,69.8,94,5,190,,,,,,
2017-05-06 00:00:00,1016.58,71.2,67.5,87,10,230,,,,,,
2017-05-06 01:00:00,,71.6,68.0,88,10,230,,,,,,
2017-05-06 02:00:00,,69.8,68.0,94,10,120,,,,,,
2017-05-06 04:00:00,,68.0,68.0,100,8,230,,,,,,
2017-05-06 05:00:00,1018.00,66.2,66.2,100,4,200,,,,,,
2017-05-06 07:00:00,,73.4,69.8,88,8,270,,,,,,
2017-05-06 08:00:00,,75.2,69.8,83,14,190,,,,,,
2017-05-06 10:00:00,,75.2,69.8,83,14,220,,,,,,
2017-05-06 11:00:00,,75.2,69.8,83,16,230,,,,,,
2017-05-06 13:00:00,,77.0,69.8,78,14,180,,,,,,
2017-05-06 14:00:00,,77.0,68.0,73,15,170,,,,,,
2017-05-06 16:00:00,,73.4,68.0,83,15,180,,,,,,
2017-05-06 17:00:00,1016.00,73.4,68.0,83,17,190,,,,,,
2017-05-06 19:00:00,,73.4,68.0,83,12,250,,,,,,
2017-05-06 20:00:00,,73.4,68.0,83,10,180,,,,,,
2017-05-06 22:00:00,,73.4,68.0,83,8,200,,,,,,
2017-05-06 23:00:00,,71.6,68.0,88,6,180,,,,,,
2017-05-07 00:00:00,,71.6,68.0,88,6,180,,,,,,
2017-05-07 01:00:00,,66.2,66.2,100,18,180,,,,,,
2017-05-07 02:00:00,,68.0,68.0,100,16,200,,,,,,
2017-05-07 04:00:00,,68.0,66.2,93,18,340,,,,,,
2017-05-07 05:00:00,,66.2,66.2,100,16,20,,,,,,
2017-05-07 07:00:00,,68.0,68.0,100,3,270,,,,,,
2017-05-07 08:00:00,,71.6,68.0,88,5,280,,,,,,
2017-05-07 09:00:00,1020.16,73.6,69.4,86,6,260,,,,,,
2017-05-07 10:00:00,,77.0,68.0,73,5,230,,,,,,
2017-05-07 11:00:00,,75.2,68.0,78,8,220,,,,,,
2017-05-07 13:00:00,,77.0,68.0,73,7,250,,,,,,
2017-05-07 14:00:00,,77.0,69.8,78,8,230,,,,,,
2017-05-07 15:00:00,1015.91,75.6,69.4,81,15,210,,,,,,
2017-05-07 16:00:00,,73.4,68.0,83,8,220,,,,,,
2017-05-07 17:00:00,,71.6,68.0,88,8,230,,,,,,
2017-05-07 18:00:00,,71.6,68.0,88,5,230,,,,,,
2017-05-07 19:00:00,,71.6,69.8,94,7,270,,,,,,
2017-05-07 20:00:00,,71.6,69.8,94,7,270,,,,,,
2017-05-07 21:00:00,1018.26,70.7,69.4,95,6,240,,,,,,
2017-05-08 01:00:00,,69.8,68.0,94,8,360,,,,,,
2017-05-08 02:00:00,,68.0,68.0,100,15,140,,,,,,
2017-05-08 04:00:00,,68.0,68.0,100,8,200,,,,,,
2017-05-08 05:00:00,,68.0,68.0,100,7,250,,,,,,
2017-05-08 06:30:00,,69.8,68.0,94,4,270,,,,,,
2017-05-08 07:00:00,,71.6,68.0,88,3,260,,,,,,
2017-05-08 07:30:00,,71.6,69.8,94,4,200,,,,,,
2017-05-08 08:00:00,,73.4,69.8,88,6,220,,,,,,
2017-05-08 08:30:00,,71.6,69.8,94,16,180,,,,,,
2017-05-08 09:30:00,,71.6,68.0,88,6,200,,,,,,
2017-05-08 10:00:00,,71.6,68.0,88,6,180,,,,,,
2017-05-08 10:30:00,,73.4,68.0,83,7,220,,,,,,
2017-05-08 11:00:00,,75.2,68.0,78,8,240,,,,,,
2017-05-08 11:30:00,,75.2,66.2,73,10,240,,,,,,
2017-05-08 12:30:00,,75.2,66.2,73,5,210,,,,,,
2017-05-08 13:00:00,,75.2,68.0,78,8,200,,,,,,
2017-05-08 13:30:00,,73.4,68.0,83,6,260,,,,,,
2017-05-08 14:00:00,,73.4,68.0,83,6,260,,,,,,
2017-05-08 14:30:00,,73.4,68.0,83,6,170,,,,,,
2017-05-08 15:00:00,1016.25,72.7,68.0,85,6,170,,,,,,
2017-05-08 15:30:00,,73.4,68.0,83,5,160,,,,,,
2017-05-08 16:00:00,,71.6,68.0,88,5,170,,,,,,
2017-05-08 17:00:00,,71.6,68.0,88,5,140,,,,,,
2017-05-08 18:00:00,1018.26,69.8,68.0,94,5,240,,,,,,
2017-05-08 19:00:00,,69.8,68.0,94,4,140,,,,,,
2017-05-08 20:00:00,,69.8,68.0,94,3,140,,,,,,
2017-05-08 21:00:00,1019.04,69.8,,,3,310,,,,,,
2017-05-08 22:00:00,,69.8,69.8,100,2,240,,,,,,
2017-05-08 23:00:00,,71.6,68.0,88,10,100,,,,,,
2017-05-09 01:00:00,,71.6,69.8,94,10,140,,,,,,
2017-05-09 02:00:00,,71.6,68.0,88,9,60,,,,,,
2017-05-09 04:00:00,,71.6,68.0,88,9,100,,,,,,
2017-05-09 05:00:00,,73.4,68.0,83,9,120,,,,,,
2017-05-09 06:30:00,,73.4,68.0,83,12,160,,,,,,
2017-05-09 07:00:00,,75.2,68.0,78,12,160,,,,,,
2017-05-09 07:30:00,,75.2,69.8,83,10,160,,,,,,
2017-05-09 08:00:00,,77.0,71.6,83,10,140,,,,,,
2017-05-09 08:30:00,,77.0,69.8,78,12,180,,,,,,
2017-05-09 09:30:00,,77.0,68.0,73,15,180,,,,,,
2017-05-09 10:00:00,,77.0,69.8,78,12,180,,,,,,
2017-05-09 10:30:00,,77.0,69.8,78,14,200,,,,,,
2017-05-09 11:00:00,,78.8,69.8,74,14,160,,,,,,
2017-05-09 11:30:00,,78.8,68.0,69,10,140,,,,,,
2017-05-09 12:30:00,,78.8,68.0,69,10,140,,,,,,
2017-05-09 13:00:00,,78.8,66.2,65,10,140,,,,,,
2017-05-09 13:30:00,,78.8,68.0,69,12,180,,,,,,
2017-05-09 14:00:00,,77.0,68.0,73,12,180,,,,,,
2017-05-09 14:30:00,,77.0,68.0,73,12,180,,,,,,
2017-05-09 15:30:00,,77.0,68.0,73,12,180,,,,,,
