"Time (UTC)","Barometric Pressure (mbar)","Temperature (degrees F)","Dewpoint (degrees F)","Relative Humidity (%)","Wind speed (mph)","Wind direction (degrees)","Analysis Barometric Pressure (mbar)","Analysis Temperature (degrees F)","Analysis Dewpoint (degrees F)","Analysis Relative Humidity (%)","Analysis Wind speed (mph)","Analysis Wind direction (degrees)"
2017-05-01 06:00:00,1010.98,65.3,65.3,100,4,180,,,,,,
2017-05-01 09:00:00,1010.31,68.7,64.4,86,0,0,,,,,,
2017-05-01 12:00:00,1007.18,73.4,64.0,72,2,160,,,,,,
2017-05-01 15:00:00,1006.73,75.2,63.1,66,3,180,,,,,,
2017-05-02 06:00:00,1009.19,71.6,68.4,89,2,200,,,,,,
2017-05-02 09:00:00,1009.19,69.4,68.4,96,0,0,,,,,,
2017-05-02 12:00:00,1006.17,68.9,67.6,95,0,0,,,,,,
2017-05-02 15:00:00,1004.94,74.5,63.5,68,2,270,,,,,,
2017-05-03 12:00:00,1005.84,75.2,66.6,74,3,160,,,,,,
2017-05-03 15:00:00,1003.27,75.6,65.8,71,4,180,,,,,,
2017-05-04 06:00:00,1007.18,69.8,67.1,91,2,180,,,,,,
2017-05-04 09:00:00,1007.63,78.8,66.7,66,4,180,,,,,,
2017-05-05 06:00:00,1008.30,70.5,68.0,91,0,0,,,,,,
2017-05-05 09:00:00,1008.30,72.5,67.1,83,2,90,,,,,,
2017-05-05 12:00:00,1005.50,74.8,68.7,81,0,0,,,,,,
2017-05-05 15:00:00,1005.17,72.5,68.5,87,2,160,,,,,,
2017-05-06 15:00:00,1005.73,75.2,67.1,75,5,180,,,,,,
2017-05-07 06:00:00,1009.41,67.1,67.1,100,0,0,,,,,,
2017-05-07 09:00:00,1009.08,76.6,66.4,70,2,270,,,,,,
2017-05-07 12:00:00,1006.40,78.4,66.9,67,7,250,,,,,,
2017-05-08 06:00:00,1008.30,71.6,68.4,89,2,180,,,,,,
2017-05-08 09:00:00,1009.52,75.6,68.4,78,4,250,,,,,,
2017-05-08 12:00:00,1006.95,77.4,67.5,71,5,160,,,,,,
