site,name,day,average humidity (%),total rainfall (mm),average pressure (kPa),total radiation (W/m2),average temperature (oC),min temperature (oC),max temperature (oC),predominant winddirection,average windspeed (m/s),min windspeed (m/s),max windspeed (m/s)
TA00216,Makerere Synoptic,2017-09-09,86.22,0,87.666,0,20.92,19.78,22.72,SE,0.59,0.29,1.19
TA00216,Makerere Synoptic,2017-09-10,78.17,0,87.715,3575.39,21.91,18.57,26.37,NE,0.6,0.31,1.41
TA00216,Makerere Synoptic,2017-09-11,75.27,1.77,87.657,4600.25,23.05,17.99,28.23,NE,0.69,0.44,1.27
TA00216,Makerere Synoptic,2017-09-13,90,0,87.73,0,20.46,20.46,20.46,E,0.91,0.91,0.91
TA00216,Makerere Synoptic,2017-09-24,78.17,0,87.78,4839.53,22.02,18.4,27.86,SE,0.88,0.3,1.63
TA00216,Makerere Synoptic,2017-09-25,80.21,7.88,87.627,4820.36,21.65,17.37,28.59,E,0.7,0.39,1.03
TA00216,Makerere Synoptic,2017-09-26,90.25,0,87.645,0,19.6,18.55,20.83,N,0.62,0.19,1.23
TA00216,Makerere Synoptic,2017-10-31,84.5,1.07,87.665,0,20.55,18.64,21.39,NE,0.95,0.71,1.24
TA00216,Makerere Synoptic,2017-11-01,73,1.67,87.624,4707.15,23.25,18.1,28.83,SE,0.69,0.32,1.38
TA00216,Makerere Synoptic,2017-11-02,74.96,0.02,87.61,4683.44,22.99,19.15,28.99,W,0.66,0.22,1.28
TA00216,Makerere Synoptic,2017-11-03,81.25,10.1,87.56,4773.7,22.08,16.57,27.73,W,0.77,0.18,1.31
TA00216,Makerere Synoptic,2017-11-04,82.88,0,87.708,3302.85,20.49,17.93,25.85,SE,1.14,0.72,2.1
TA00216,Makerere Synoptic,2017-11-05,80.63,0,87.734,3079.76,21.23,18.02,26.14,E,0.55,0.18,0.9
TA00216,Makerere Synoptic,2017-11-06,87.92,7.3,87.604,2781.42,20.95,17.94,25.71,E,0.57,0.2,1
TA00216,Makerere Synoptic,2017-11-07,92.29,66.84,87.723,2762.91,19.38,17.23,23.56,SE,1.65,0.15,22.84
TA00216,Makerere Synoptic,2017-11-08,85.42,3.36,87.687,3191.81,21.62,18.86,27.18,E,0.53,0.23,0.83
TA00216,Makerere Synoptic,2017-11-09,86.33,1,87.632,3439.81,21.52,18.52,27.06,E,0.53,0.2,0.93
TA00216,Makerere Synoptic,2017-11-10,85.25,12.08,87.558,3612.91,21.24,17.91,27.94,E,0.7,0.4,1.19
TA00216,Makerere Synoptic,2017-11-11,78.5,0,87.563,4988.47,22.97,18.15,28.05,NE,0.63,0.23,1.23
TA00216,Makerere Synoptic,2017-11-12,89.17,4.26,87.632,2888.44,21.12,18.44,25.58,E,0.55,0.2,1.04
TA00216,Makerere Synoptic,2017-11-13,85.38,6.98,87.574,4226.36,21.72,18.64,28.33,SE,0.55,0.18,0.88
