site,name,month,average humidity (%),total rainfall (mm),average pressure (kPa),total radiation (W/m2),average temperature (oC),min temperature (oC),max temperature (oC),predominant winddirection,average windspeed (m/s),min windspeed (m/s),max windspeed (m/s)
TA00216,Makerere Synoptic,2017-09,79.55,9.65,87.693,17835.53,21.85,17.37,28.59,E,0.7,0.19,1.63
TA00216,Makerere Synoptic,2017-10,84.5,1.07,87.665,0,20.55,18.64,21.39,NE,0.95,0.71,1.24
TA00216,Makerere Synoptic,2017-11,79.95,216.68,87.636,118238.95,22.05,16.51,29.98,E,0.69,0,22.84
TA00216,Makerere Synoptic,2017-12,73.99,27.74,87.592,124474.15,23.17,16.37,32.24,S,0.79,0.17,2.77
TA00216,Makerere Synoptic,2018-01,69.63,28.44,87.582,115217.19,22.86,16.98,32.68,SE,0.9,0,3.17
TA00216,Makerere Synoptic,2018-02,71.29,53.6,87.472,110826.36,23.97,17.29,32.95,SW,0.84,0,16.74
TA00216,Makerere Synoptic,2018-03,82.93,179.04,87.635,100497.02,21.97,16.69,29.59,NW,1.29,0,34.99
TA00216,Makerere Synoptic,2018-04,86.77,160.92,87.69,87066.04,21.31,16.51,27.81,SW,0.88,0,27
TA00216,Makerere Synoptic,2018-05,83.41,2.49,87.736,92947.27,22.06,17.21,28.78,W,0.75,0,6.7
TA00216,Makerere Synoptic,2018-06,81.65,0.24,87.858,85422.65,21.59,16.64,28.46,SW,0.67,0.21,2.05
TA00216,Makerere Synoptic,2018-07,76.15,19.95,87.877,125112.4,21.68,15.47,28.4,S,0.76,0,3.48
TA00216,Makerere Synoptic,2018-08,58.19,86.88,87.841,112214.41,21.54,16.29,29.55,S,0.81,0,33.68
TA00216,Makerere Synoptic,2018-09,78.7,77.94,87.65,120506.45,22.47,16.7,31.31,SE,0.82,0,33.74
TA00216,Makerere Synoptic,2018-10,81.35,225.8,87.671,115364.43,22.18,16.92,30.5,SE,0.87,0,32.62
TA00216,Makerere Synoptic,2018-11,79.66,161.8,87.609,120177.83,22.95,17.12,32.03,SE,0.95,0,28.34
TA00216,Makerere Synoptic,2018-12,82.44,131.51,87.688,101651.61,22.35,16.7,31.12,SE,1.23,0,23.31
TA00216,Makerere Synoptic,2019-01,77.2,101.89,87.655,120291.58,23.56,17.2,32.85,SE,1.87,0,36.91
TA00216,Makerere Synoptic,2019-02,72.64,83.31,87.622,133341.67,24.29,15.97,33.37,SE,1.5,0.19,4.77
TA00216,Makerere Synoptic,2019-03,73.59,38.9,87.671,167422.77,23.98,17.15,31.2,S,0.66,0.13,1.51
TA00216,Makerere Synoptic,2019-04,79.66,190.79,87.678,138051.78,23.36,17.14,30.62,S,0.65,0.14,1.58
TA00216,Makerere Synoptic,2019-05,85.22,209.67,87.746,135064.49,22.37,16.89,27.85,S,0.6,0.14,1.5
