Date,Tahmo,UNMA
2018-01-01,0,0
2018-01-02,0.06,0
2018-01-03,0.06,0
2018-01-04,0.02,0
2018-01-05,0.08,0
2018-01-06,0,0
2018-01-07,0,0
2018-01-08,0,0
2018-01-09,0,0
2018-01-10,0.07,0
2018-01-11,0,0
2018-01-12,20.53,20.1
2018-01-13,0.02,0.3
2018-01-14,0.77,0.5
2018-01-15,0,0
2018-01-16,0.14,0
2018-01-17,0,0
2018-01-18,0.13,0
2018-01-19,0.12,0
2018-01-20,0,0
2018-01-21,0,0
2018-01-22,0.06,0
2018-01-23,0,0
2018-01-24,4.96,4.3
2018-01-25,0.02,
2018-01-26,0.73,1
2018-01-27,0.16,0
2018-01-28,0.06,0
2018-01-29,0.25,0
2018-01-30,0.12,0
2018-01-31,0.08,0
2018-02-01,0.1,0
2018-02-02,0.04,0
2018-02-03,0.04,0
2018-02-04,0.05,0
2018-02-05,0,0
2018-02-06,0,0
2018-02-07,0.07,0
2018-02-08,0.1,0
2018-02-09,0.07,
2018-02-10,0.12,0
2018-02-11,0.02,0.6
2018-02-12,0.68,0
2018-02-13,0,0
2018-02-14,0.02,0
2018-02-15,0,0
2018-02-16,0,0
2018-02-17,0,0
2018-02-18,1.77,26.1
2018-02-19,27.45,4.2
2018-02-20,0.07,0.1
2018-02-21,1.23,1.4
2018-02-22,0,0
2018-02-23,1.2,1.4
2018-02-24,0,0
2018-02-25,0,8.4
2018-02-26,9.9,9.5
2018-02-27,10.67,2.5
2018-02-28,0,
2018-03-01,69.87,77.9
2018-03-02,0.11,0.2
2018-03-03,14.76,16.1
2018-03-04,35.03,34.9
2018-03-05,0.04,1.5
2018-03-06,3.36,2.1
2018-03-07,0.15,1.3
2018-03-08,1.33,0
2018-03-09,0,0.8
2018-03-10,0.86,0
2018-03-11,0,0
2018-03-12,2.36,3.1
2018-03-13,0,
2018-03-14,5.47,11.6
2018-03-15,24.82,19.6
2018-03-16,0,0
2018-03-17,0,0
2018-03-18,5.95,20
2018-03-19,2.88,1.7
2018-03-20,0.3,41.2
2018-03-21,9.83,
2018-03-22,0.36,0
2018-03-23,0.1,0
2018-03-24,0.04,4.9
2018-03-25,0.12,0.8
2018-03-26,0.08,0.2
2018-03-27,0.08,12.2
2018-03-28,0.62,0
2018-03-29,0.21,
2018-03-30,0.21,0.1
2018-03-31,0.1,0.1
2018-04-01,18.7,18.4
2018-04-02,11.17,15.4
2018-04-03,20.49,12.2
2018-04-04,3,1.4
2018-04-05,0,0
2018-04-06,0.17,0.2
2018-04-07,0,7.5
2018-04-08,7.3,0.5
2018-04-09,0.17,0
2018-04-10,0.02,0.1
2018-04-11,9.95,9.8
2018-04-12,0.16,0
2018-04-13,37.24,39.8
2018-04-14,8.13,2.9
2018-04-15,5.51,15
2018-04-16,14.17,4.7
2018-04-17,0.8,0.2
2018-04-18,4.96,7.4
2018-04-19,1.15,
2018-04-20,0.13,17
2018-04-21,5.27,29.3
2018-04-22,2.48,5.5
2018-04-23,1.23,0
2018-04-24,2,27.2
2018-04-25,1.52,10.1
2018-04-26,1.6,55.7
2018-04-27,1.63,2.3
2018-04-28,0.91,3.7
2018-04-29,0.68,1
2018-04-30,0.38,21.6
2018-05-01,0.42,4.8
2018-05-02,0.38,0.1
2018-05-03,0.24,
2018-05-04,0.14,0
2018-05-05,0.16,8.9
2018-05-06,0.18,2
2018-05-07,0.16,
2018-05-08,0.1,
2018-05-09,0.08,0.5
2018-05-10,0.04,0.3
2018-05-11,0.04,11.2
2018-05-12,0.02,0
2018-05-13,0.02,0
2018-05-14,0.02,0
2018-05-15,0,0
2018-05-16,0,0
2018-05-17,0,0
2018-05-18,0.14,
2018-05-19,0.07,0
2018-05-20,0.02,1.6
2018-05-21,0,0.8
2018-05-22,0,0.6
2018-05-23,0,
2018-05-24,0,0
2018-05-25,0.1,1.1
2018-05-26,0,1.7
2018-05-27,0,0.2
2018-05-28,0,0
2018-05-29,0.07,0
2018-05-30,0,0
2018-05-31,0.09,6
2018-06-01,0.02,
2018-06-02,0,1.2
2018-06-03,0,
2018-06-04,0,9.9
2018-06-05,0,7.1
2018-06-06,0.02,1
2018-06-07,0,0.1
2018-06-08,0.02,
2018-06-09,0,0
2018-06-10,0,0
2018-06-11,0,0
2018-06-12,0.02,0
2018-06-13,0,12.4
2018-06-14,0,2.9
2018-06-15,0,0
2018-06-16,0,0
2018-06-17,0,0
2018-06-18,0.02,20.9
2018-06-19,0.02,0.2
2018-06-20,0.02,
2018-06-21,0,
2018-06-22,0,
2018-06-23,0,0
2018-06-24,0,0
2018-06-25,0,0
2018-06-26,0.06,3
2018-06-27,0,0.6
2018-06-28,0,0.3
2018-06-29,0,0.3
2018-06-30,0.04,0.8
2018-07-01,0,0
2018-07-02,0.13,0.3
2018-07-03,0.02,0
2018-07-04,2.6,2.4
2018-07-05,0.06,0
2018-07-06,0,0
2018-07-07,0.02,0
2018-07-08,1.38,1.2
2018-07-09,0.04,0
2018-07-10,0,0
2018-07-11,2.82,2.2
2018-07-12,1.72,1.7
2018-07-13,0,0
2018-07-14,0,0
2018-07-15,0.39,0.3
2018-07-16,0,0
2018-07-17,0.09,0
2018-07-18,0,0
2018-07-19,0,3.4
2018-07-20,3.36,0
2018-07-21,0,0
2018-07-22,0,0
2018-07-23,0,0
2018-07-24,0,0
2018-07-25,0.12,1.7
2018-07-26,1.86,0.3
2018-07-27,0,0
2018-07-28,0,0
2018-07-29,0,0
2018-07-30,4.32,4
2018-07-31,1.02,28.2
2018-08-01,29.44,1.1
2018-08-02,0,5
2018-08-03,7.48,1.8
2018-08-04,9.08,10.8
2018-08-05,0.04,0.5
2018-08-06,10.17,9.5
2018-08-07,0,0
2018-08-08,0.02,0
2018-08-09,0,0
2018-08-10,1.11,1.5
