Latitude,Longitude,Date,MODIS_Tile,MOD13A3_006_Line_Y_1km,MOD13A3_006_Sample_X_1km,MOD13A3_006__1_km_monthly_EVI,MOD13A3_006__1_km_monthly_NDVI,MOD13A3_006__1_km_monthly_VI_Quality,MOD13A3_006__1_km_monthly_VI_Quality_bitmask,MOD13A3_006__1_km_monthly_VI_Quality_MODLAND,MOD13A3_006__1_km_monthly_VI_Quality_MODLAND_Description,MOD13A3_006__1_km_monthly_VI_Quality_VI_Usefulness,MOD13A3_006__1_km_monthly_VI_Quality_VI_Usefulness_Description,MOD13A3_006__1_km_monthly_VI_Quality_Aerosol_Quantity,MOD13A3_006__1_km_monthly_VI_Quality_Aerosol_Quantity_Description,MOD13A3_006__1_km_monthly_VI_Quality_Adjacent_cloud_detected,MOD13A3_006__1_km_monthly_VI_Quality_Adjacent_cloud_detected_Description,MOD13A3_006__1_km_monthly_VI_Quality_Atmosphere_BRDF_Correction,MOD13A3_006__1_km_monthly_VI_Quality_Atmosphere_BRDF_Correction_Description,MOD13A3_006__1_km_monthly_VI_Quality_Mixed_Clouds,MOD13A3_006__1_km_monthly_VI_Quality_Mixed_Clouds_Description,MOD13A3_006__1_km_monthly_VI_Quality_Land/Water_Mask,MOD13A3_006__1_km_monthly_VI_Quality_Land/Water_Mask_Description,MOD13A3_006__1_km_monthly_VI_Quality_Possible_snow/ice,MOD13A3_006__1_km_monthly_VI_Quality_Possible_snow/ice_Description,MOD13A3_006__1_km_monthly_VI_Quality_Possible_shadow,MOD13A3_006__1_km_monthly_VI_Quality_Possible_shadow_Description
0.297841,32.55506,2017-01-01,h21v08,1164.0,306.0,0.1618,0.2935,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
0.297841,32.55506,2017-02-01,h21v08,1164.0,306.0,0.1741,0.312,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
0.297841,32.55506,2017-03-01,h21v08,1164.0,306.0,0.2023,0.367,2185.0,0b0000100010001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality (0010),0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
0.297841,32.55506,2017-04-01,h21v08,1164.0,306.0,0.199,0.3611,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
0.297841,32.55506,2017-05-01,h21v08,1164.0,306.0,0.1895,0.3835,2445.0,0b0000100110001101,0b01,"VI produced, but check other QA",0b0011,Decreasing quality (0011),0b10,Average,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
0.297841,32.55506,2017-06-01,h21v08,1164.0,306.0,0.1832,0.353,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
0.297841,32.55506,2017-07-01,h21v08,1164.0,306.0,0.1811,0.3458,2112.0,0b0000100001000000,0b00,"VI produced, good quality",0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
0.297841,32.55506,2017-08-01,h21v08,1164.0,306.0,0.2258,0.3702,2445.0,0b0000100110001101,0b01,"VI produced, but check other QA",0b0011,Decreasing quality (0011),0b10,Average,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
0.297841,32.55506,2017-09-01,h21v08,1164.0,306.0,0.2059,0.3678,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
0.297841,32.55506,2017-10-01,h21v08,1164.0,306.0,0.2227,0.3807,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
