date,PM1(Ug/m3),PM2.5,PM10(Ug/m3)
2017-07-01,14.11,21.52,50.04
2017-07-02,34.35,49.05,114.03
2017-07-03,21.07,26.82,48.24
2017-07-04,15.51,22.61,43.63
2017-07-05,22.63,31.8,55.22
2017-07-06,11.22,15.77,39.04
2017-07-07,4.95,7.85,18.45
2017-07-09,14.08,26.97,211.33
2017-07-10,3.69,5.5,16.55
2017-07-12,17.73,25.96,47.7
2017-07-13,24.55,31.1,54.71
2017-07-14,10.74,15.6,81.03
2017-07-15,25.91,36.29,80.84
2017-07-16,23.32,33.27,70.78
2017-07-17,17.15,25.15,72.97
2017-07-18,17.56,25.85,68.3
2017-07-19,16.59,24.28,57.12
2017-07-20,12.13,17.64,46.33
2017-07-21,10.68,15.17,40.41
2017-07-22,11.69,16.3,34.81
2017-07-23,8.62,11.42,20.71
2017-07-25,20.85,25.56,33.17
2017-07-26,30.05,37.29,52.43
2017-07-27,17.27,22.11,36.32
2017-07-28,4.49,8.13,27.45
2017-07-30,37.83,53.76,84.62
2017-07-31,14.06,22.06,51.01
2017-08-01,12.85,18.32,45.02
2017-08-02,6.54,9.71,27.29
2017-08-03,9.95,14.73,40.94
2017-08-04,12.27,18.62,55.67
2017-08-05,15.68,23.53,61.96
2017-08-06,11.92,18.2,52.98
2017-08-07,11.94,18.11,54.77
2017-08-08,11.81,17.42,42.01
2017-08-09,8.63,12.29,33.22
2017-08-10,16.94,22.65,36.78
2017-08-17,5.85,8.7,21.07
2017-08-18,6.49,9.78,29.53
2017-08-19,9.19,14.02,39
2017-08-20,8.42,13.3,37.12
2017-08-21,10.9,17,49.04
2017-08-22,9.31,13.65,35.95
2017-08-23,9.39,13.45,39.98
2017-08-24,9.71,13.49,33.06
2017-08-25,14.65,19.82,58.08
2017-08-26,8.05,11.37,31.46
2017-08-27,8.17,12.21,34.65
2017-08-28,7.12,10.08,27.38
2017-08-29,7.76,10.87,27.01
2017-08-30,6.25,8.79,22.23
2017-08-31,7.94,10.79,23.52
2017-09-01,16.43,21.61,35.23
2017-09-02,15.82,20.9,45.5
2017-09-03,12.97,16.85,27.14
2017-09-04,5.03,6.94,19.01
