date,PM2.5
17/02/2017,61
18/02/2017,53.42
19/02/2017,67.5
20/02/2017,43.79
21/02/2017,47.04
22/02/2017,30.54
23/02/2017,36.14
24/02/2017,36.17
25/02/2017,38.33
26/02/2017,54
27/02/2017,42.79
28/02/2017,45.46
01/03/2017,48.79
02/03/2017,37.21
03/03/2017,37.38
04/03/2017,36.08
05/03/2017,32.61
06/03/2017,53.78
07/03/2017,54.79
08/03/2017,59.5
09/03/2017,29.92
10/03/2017,31.04
11/03/2017,33.21
12/03/2017,40.38
13/03/2017,47.67
14/03/2017,54.42
15/03/2017,56.88
16/03/2017,35.96
17/03/2017,22.17
18/03/2017,58.38
19/03/2017,26.38
20/03/2017,25.58
21/03/2017,29.71
22/03/2017,38.29
23/03/2017,34.54
24/03/2017,40.75
25/03/2017,30.38
26/03/2017,36.75
27/03/2017,40.88
28/03/2017,37.71
29/03/2017,42.92
30/03/2017,36.71
31/03/2017,28.71
01/04/2017,34.33
02/04/2017,38.54
03/04/2017,43.25
04/04/2017,37.96
05/04/2017,30.46
06/04/2017,31.21
07/04/2017,26.88
08/04/2017,21.08
09/04/2017,25
10/04/2017,47.29
11/04/2017,45.12
12/04/2017,40.75
13/04/2017,44.09
14/04/2017,42.46
15/04/2017,55.58
16/04/2017,46.17
17/04/2017,32.54
18/04/2017,23.12
19/04/2017,25.25
20/04/2017,26.08
21/04/2017,21.29
22/04/2017,28.46
23/04/2017,33.42
24/04/2017,21.96
25/04/2017,34.88
26/04/2017,39.71
27/04/2017,38.88
28/04/2017,32.38
29/04/2017,38.46
30/04/2017,41.71
01/05/2017,32.46
02/05/2017,37.12
03/05/2017,39.96
04/05/2017,34
05/05/2017,27.21
06/05/2017,28.12
07/05/2017,24.71
08/05/2017,36
09/05/2017,22.17
10/05/2017,24
11/05/2017,26.21
12/05/2017,22.17
13/05/2017,21.12
14/05/2017,24.71
15/05/2017,40.62
16/05/2017,46.25
17/05/2017,46.04
18/05/2017,48.79
19/05/2017,43.33
20/05/2017,38.71
21/05/2017,35.5
22/05/2017,34.33
23/05/2017,33.43
30/05/2017,53
31/05/2017,38.88
01/06/2017,58.79
02/06/2017,45.33
03/06/2017,46.42
04/06/2017,66.46
05/06/2017,74.54
06/06/2017,63.29
07/06/2017,58.12
08/06/2017,76.71
09/06/2017,69.29
10/06/2017,52.46
11/06/2017,50.42
12/06/2017,45
13/06/2017,42.04
14/06/2017,36.46
15/06/2017,40.83
16/06/2017,44.04
17/06/2017,52.71
18/06/2017,46.83
19/06/2017,50.92
20/06/2017,57.38
21/06/2017,74.58
22/06/2017,81.62
23/06/2017,63.33
24/06/2017,69.79
25/06/2017,54.67
26/06/2017,56.75
27/06/2017,63.58
28/06/2017,62
29/06/2017,59.71
30/06/2017,57.96
01/07/2017,56.33
02/07/2017,64.33
03/07/2017,69.54
04/07/2017,59.75
05/07/2017,92.92
06/07/2017,57.42
07/07/2017,57.12
08/07/2017,63.83
09/07/2017,66.42
10/07/2017,80.12
11/07/2017,67.46
12/07/2017,76.5
13/07/2017,58.58
14/07/2017,54.04
15/07/2017,91.71
16/07/2017,86.21
17/07/2017,66.71
18/07/2017,75.96
19/07/2017,62
20/07/2017,55.38
21/07/2017,62.96
22/07/2017,54.62
23/07/2017,56.33
24/07/2017,82.29
25/07/2017,73.38
26/07/2017,58.92
27/07/2017,54.88
28/07/2017,65.04
29/07/2017,72.92
30/07/2017,63.17
31/07/2017,56.54
01/08/2017,57.25
02/08/2017,47.46
03/08/2017,61.96
04/08/2017,90.04
05/08/2017,81.67
06/08/2017,69.08
07/08/2017,70.58
08/08/2017,60.25
09/08/2017,52.46
10/08/2017,67.46
11/08/2017,72.25
14/08/2017,50.36
15/08/2017,49.71
16/08/2017,61.71
17/08/2017,49
18/08/2017,63.04
19/08/2017,74.58
20/08/2017,52.83
21/08/2017,75.12
22/08/2017,60.71
23/08/2017,55.25
24/08/2017,58.62
25/08/2017,65.71
26/08/2017,49.79
27/08/2017,51.46
28/08/2017,52.75
29/08/2017,54.71
30/08/2017,42.67
31/08/2017,52.83
01/09/2017,58.62
02/09/2017,59.96
03/09/2017,52
04/09/2017,33.67
05/09/2017,41.88
06/09/2017,67.75
07/09/2017,60.25
08/09/2017,83.29
09/09/2017,98.42
10/09/2017,51.12
11/09/2017,60.92
12/09/2017,79.21
13/09/2017,77
14/09/2017,43.96
15/09/2017,38.38
16/09/2017,62
17/09/2017,56.46
18/09/2017,40.54
19/09/2017,56.88
20/09/2017,64.12
21/09/2017,57.33
22/09/2017,44.38
23/09/2017,58.54
24/09/2017,65.79
25/09/2017,49.33
26/09/2017,54.83
27/09/2017,75.21
28/09/2017,59.79
29/09/2017,55.79
30/09/2017,51.92
01/10/2017,48
02/10/2017,72.67
03/10/2017,65.21
04/10/2017,69.86
05/10/2017,62.92
06/10/2017,73.12
07/10/2017,54
08/10/2017,55.04
09/10/2017,49.38
10/10/2017,48.83
11/10/2017,53.5
12/10/2017,40.25
13/10/2017,38.62
14/10/2017,73.21
15/10/2017,55.29
16/10/2017,34.58
17/10/2017,55.88
18/10/2017,52.88
19/10/2017,36.08
20/10/2017,40.04
21/10/2017,36.71
22/10/2017,43.96
23/10/2017,61.46
24/10/2017,59.17
25/10/2017,65.67
26/10/2017,46.96
27/10/2017,42.96
28/10/2017,46.08
29/10/2017,43.96
30/10/2017,48.33
08/11/2017,61.45
09/11/2017,44.38
10/11/2017,56.58
11/11/2017,52.25
12/11/2017,49.46
13/11/2017,60.65
14/11/2017,56.96
15/11/2017,77
16/11/2017,65.04
17/11/2017,72.33
18/11/2017,83.54
19/11/2017,73.46
20/11/2017,56.46
21/11/2017,63.88
22/11/2017,88.42
23/11/2017,81.04
24/11/2017,90.92
25/11/2017,106.54
26/11/2017,55.92
27/11/2017,48.17
28/11/2017,72.38
29/11/2017,57.5
30/11/2017,46.83
01/12/2017,46.17
02/12/2017,67.62
03/12/2017,66.71
04/12/2017,59.5
05/12/2017,55.96
06/12/2017,57.75
07/12/2017,43.04
08/12/2017,63.54
09/12/2017,54.67
10/12/2017,94.58
11/12/2017,97.21
12/12/2017,88.83
13/12/2017,77.42
14/12/2017,99.92
15/12/2017,99.71
16/12/2017,148.14
17/12/2017,63.67
18/12/2017,66.46
19/12/2017,58.54
20/12/2017,42.17
21/12/2017,51.92
22/12/2017,68.17
23/12/2017,70.33
24/12/2017,71.29
25/12/2017,72.75
26/12/2017,48.62
27/12/2017,58.04
28/12/2017,68.04
29/12/2017,94.33
30/12/2017,77.71
31/12/2017,78.04
01/01/2018,72.79
02/01/2018,90.62
03/01/2018,160.12
04/01/2018,168.17
05/01/2018,99.71
06/01/2018,133.83
07/01/2018,116.5
08/01/2018,105.83
09/01/2018,107.79
10/01/2018,114.17
11/01/2018,123.25
12/01/2018,72.04
13/01/2018,70.38
14/01/2018,51.08
15/01/2018,69.54
16/01/2018,67.38
17/01/2018,109
18/01/2018,97.12
19/01/2018,76.71
20/01/2018,92.92
21/01/2018,46.79
22/01/2018,63.42
23/01/2018,62.92
24/01/2018,47.67
25/01/2018,84.31
26/01/2018,77.46
27/01/2018,95.42
28/01/2018,59.04
29/01/2018,62.88
30/01/2018,88.79
31/01/2018,92.22
01/02/2018,84.38
02/02/2018,86.96
03/02/2018,64.83
04/02/2018,84.17
05/02/2018,72.08
06/02/2018,105.83
07/02/2018,67.58
08/02/2018,57.42
09/02/2018,77.67
10/02/2018,68.5
11/02/2018,80
12/02/2018,73.17
13/02/2018,52.25
14/02/2018,52.54
15/02/2018,57.79
16/02/2018,84.96
17/02/2018,69.71
18/02/2018,68.96
19/02/2018,52.38
20/02/2018,45.54
21/02/2018,48.83
22/02/2018,68.79
23/02/2018,48.58
24/02/2018,43.75
25/02/2018,56.54
26/02/2018,44.5
27/02/2018,39.62
28/02/2018,63.58
01/03/2018,61.5
02/03/2018,41.92
03/03/2018,70
04/03/2018,66.67
05/03/2018,61.62
06/03/2018,58.75
07/03/2018,52.29
08/03/2018,57.08
09/03/2018,55.29
10/03/2018,52.29
11/03/2018,53.25
12/03/2018,32.75
13/03/2018,9.18
20/03/2018,66.56
21/03/2018,37.25
22/03/2018,46.67
23/03/2018,42.78
24/03/2018,51.04
25/03/2018,38.95
26/03/2018,37.25
27/03/2018,39.92
28/03/2018,48.25
29/03/2018,72.75
30/03/2018,51
31/03/2018,60.75
01/04/2018,52.92
02/04/2018,35.67
03/04/2018,53.42
04/04/2018,42.79
05/04/2018,40.5
06/04/2018,49.71
07/04/2018,45.04
08/04/2018,39.08
09/04/2018,30.75
10/04/2018,28.62
11/04/2018,45.21
12/04/2018,28.93
13/04/2018,40.5
14/04/2018,38.62
15/04/2018,52
16/04/2018,43.17
17/04/2018,44.62
18/04/2018,41.67
19/04/2018,35.62
20/04/2018,52.42
21/04/2018,36.29
22/04/2018,43.33
23/04/2018,44.29
24/04/2018,49.79
25/04/2018,41.62
26/04/2018,38.17
27/04/2018,26.92
28/04/2018,30.21
29/04/2018,33.38
30/04/2018,30.88
01/05/2018,26.33
02/05/2018,28.88
03/05/2018,25.96
04/05/2018,32.42
05/05/2018,31.21
06/05/2018,31.62
07/05/2018,33.88
08/05/2018,31.88
09/05/2018,42.62
10/05/2018,26.25
11/05/2018,55.25
12/05/2018,52.5
13/05/2018,39
14/05/2018,55.46
15/05/2018,37.58
16/05/2018,37.46
17/05/2018,29.38
18/05/2018,42.38
19/05/2018,35
